pickup_date,pickup_day_of_week,pickup_hour,dropoff_date,dropoff_day_of_week,dropoff_hour,passenger_count,trip_distance,RatecodeID,pickup_location,dropoff_location,total_amount
2019-06-15,Saturday,22,2019-06-15,Saturday,22,5,1.31,1,Midtown Center,Lincoln Square West,15.96
2019-06-15,Saturday,22,2019-06-15,Saturday,22,1,6.83,1,Brooklyn Heights,Bay Ridge,26.62
2019-06-15,Saturday,22,2019-06-15,Saturday,22,1,2.4,1,Upper East Side South,Upper West Side North,16.0
2019-06-15,Saturday,22,2019-06-15,Saturday,22,1,4.53,1,Upper East Side South,Steinway,19.8
2019-06-15,Saturday,22,2019-06-15,Saturday,22,1,3.4,1,Garment District,Upper East Side North,20.75
2019-06-15,Saturday,22,2019-06-15,Saturday,22,3,0.69,1,Lenox Hill West,Lenox Hill East,8.8
2019-06-15,Saturday,22,2019-06-15,Saturday,22,1,5.1,1,Greenwich Village South,Greenpoint,35.93
2019-06-15,Saturday,22,2019-06-15,Saturday,23,1,1.79,1,Lincoln Square East,Garment District,19.12
2019-06-15,Saturday,22,2019-06-15,Saturday,22,1,17.77,2,JFK Airport,Stuy Town/Peter Cooper Village,73.7
2019-06-15,Saturday,22,2019-06-15,Saturday,22,4,4.18,1,Garment District,TriBeCa/Civic Center,20.8
2019-06-15,Saturday,22,2019-06-15,Saturday,22,3,1.63,1,Yorkville East,Sutton Place/Turtle Bay North,10.3
2019-06-15,Saturday,22,2019-06-15,Saturday,22,5,0.53,1,Clinton East,Midtown North,8.8
2019-06-15,Saturday,22,2019-06-15,Saturday,22,2,0.85,1,East Chelsea,Clinton East,11.76
2019-06-15,Saturday,21,2019-06-15,Saturday,22,1,2.49,1,Midtown North,Kips Bay,18.3
2019-06-15,Saturday,22,2019-06-15,Saturday,23,1,3.74,1,Lincoln Square West,East Harlem North,22.56
2019-06-15,Saturday,22,2019-06-15,Saturday,23,1,3.9,1,West Village,Upper East Side South,27.25
2019-06-15,Saturday,22,2019-06-15,Saturday,22,1,1.95,1,Midtown North,Upper East Side North,15.3
2019-06-15,Saturday,22,2019-06-15,Saturday,23,2,4.1,1,Upper East Side South,Hudson Sq,24.35
2019-06-15,Saturday,22,2019-06-15,Saturday,22,4,8.98,1,Midtown East,Cypress Hills,43.42
